Input,Coverage,Assembler,Polisher,Id,Gene-number,Isolet,Organism,Genome-Type,metaQuast-version,# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50,NG50,N90,NG90,L50,LG50,L90,LG90,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,Largest alignment,Total aligned length,NA50,NGA50,NA90,NGA90,LA50,LGA50,LA90,LGA90
voltrax--100x-flye--11.fasta,100,flye,NA,11,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045603,4045603,4045603,4045603,4045603,1,4045603,4045603,4045677,43.94,43.94,4045603,4045603,4045603,4045603,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.44,4.10,4045603,4045603,4045603,4045603,4045603,4045603,1,1,1,1
voltrax--100x-flye--12.fasta,100,flye,NA,12,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045596,4045596,4045596,4045596,4045596,1,4045596,4045596,4045677,43.94,43.94,4045596,4045596,4045596,4045596,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.44,3.73,4045596,4045596,4045596,4045596,4045596,4045596,1,1,1,1
voltrax--100x-flye-medaka--01-polished.fasta,100,flye,medaka,01,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045578,4045578,4045578,4045578,4045578,1,4045578,4045578,4045677,43.94,43.94,4045578,4045578,4045578,4045578,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.44,3.46,4045578,4045578,4045578,4045578,4045578,4045578,1,1,1,1
voltrax--100x-flye-medaka--02-polished.fasta,100,flye,medaka,02,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045570,4045570,4045570,4045570,4045570,1,4045570,4045570,4045677,43.94,43.94,4045570,4045570,4045570,4045570,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.44,3.19,4045570,4045570,4045570,4045570,4045570,4045570,1,1,1,1
voltrax--100x-flye-medaka--03-polished.fasta,100,flye,medaka,03,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045578,4045578,4045578,4045578,4045578,1,4045578,4045578,4045677,43.94,43.94,4045578,4045578,4045578,4045578,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.44,3.19,4045578,4045578,4045578,4045578,4045578,4045578,1,1,1,1
voltrax--100x-flye-medaka--04-polished.fasta,100,flye,medaka,04,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045588,4045588,4045588,4045588,4045588,1,4045588,4045588,4045677,43.94,43.94,4045588,4045588,4045588,4045588,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.44,3.44,4045588,4045588,4045588,4045588,4045588,4045588,1,1,1,1
voltrax--100x-flye-medaka--05-polished.fasta,100,flye,medaka,05,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045570,4045570,4045570,4045570,4045570,1,4045570,4045570,4045677,43.94,43.94,4045570,4045570,4045570,4045570,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.47,3.36,4045570,4045570,4045570,4045570,4045570,4045570,1,1,1,1
voltrax--100x-flye-medaka--06-polished.fasta,100,flye,medaka,06,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045558,4045558,4045558,4045558,4045558,1,4045558,4045558,4045677,43.94,43.94,4045558,4045558,4045558,4045558,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.44,3.09,4045558,4045558,4045558,4045558,4045558,4045558,1,1,1,1
voltrax--100x-flye-medaka--07-polished.fasta,100,flye,medaka,07,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045575,4045575,4045575,4045575,4045575,1,4045575,4045575,4045677,43.94,43.94,4045575,4045575,4045575,4045575,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.47,3.16,4045575,4045575,4045575,4045575,4045575,4045575,1,1,1,1
voltrax--100x-flye-medaka--08-polished.fasta,100,flye,medaka,08,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045580,4045580,4045580,4045580,4045580,1,4045580,4045580,4045677,43.94,43.94,4045580,4045580,4045580,4045580,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.47,3.19,4045580,4045580,4045580,4045580,4045580,4045580,1,1,1,1
voltrax--100x-flye-medaka--09-polished.fasta,100,flye,medaka,09,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045572,4045572,4045572,4045572,4045572,1,4045572,4045572,4045677,43.94,43.94,4045572,4045572,4045572,4045572,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.44,3.24,4045572,4045572,4045572,4045572,4045572,4045572,1,1,1,1
voltrax--100x-flye-medaka--10-polished.fasta,100,flye,medaka,10,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045573,4045573,4045573,4045573,4045573,1,4045573,4045573,4045677,43.94,43.94,4045573,4045573,4045573,4045573,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.44,3.46,4045573,4045573,4045573,4045573,4045573,4045573,1,1,1,1
voltrax--100x-flye-medaka--11-polished.fasta,100,flye,medaka,11,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045560,4045560,4045560,4045560,4045560,1,4045560,4045560,4045677,43.94,43.94,4045560,4045560,4045560,4045560,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.44,3.34,4045560,4045560,4045560,4045560,4045560,4045560,1,1,1,1
voltrax--100x-flye-medaka--12-polished.fasta,100,flye,medaka,12,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045569,4045569,4045569,4045569,4045569,1,4045569,4045569,4045677,43.94,43.94,4045569,4045569,4045569,4045569,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.44,3.24,4045569,4045569,4045569,4045569,4045569,4045569,1,1,1,1
voltrax--100x-raven--01.fasta,100,raven,NA,01,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),2,2,2,2,2,9072822,9072822,9072822,9072822,9072822,2,5026173,9072822,4045677,47.79,43.94,5026173,5026173,4046649,5026173,1,1,2,1,0,0,0,6,0,0,1,0 + 1 part,5023982,99.997,1.001,0.00,4.72,7.02,4045453,4047644,-,4045453,-,4045453,-,1,-,1
voltrax--100x-raven--02.fasta,100,raven,NA,02,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),2,2,2,2,2,5735490,5735490,5735490,5735490,5735490,2,4045409,5735490,4045677,46.14,43.94,4045409,4045409,1690081,4045409,1,1,2,1,0,0,0,1,0,0,1,0 + 1 part,1689768,99.997,1.000,0.00,1.11,7.12,4045409,4045722,4045409,4045409,-,4045409,1,1,-,1
voltrax--100x-raven--03.fasta,100,raven,NA,03,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045415,4045415,4045415,4045415,4045415,1,4045415,4045415,4045677,43.94,43.94,4045415,4045415,4045415,4045415,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.54,6.97,4045415,4045415,4045415,4045415,4045415,4045415,1,1,1,1
voltrax--100x-raven--04.fasta,100,raven,NA,04,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045904,4045904,4045904,4045904,4045904,1,4045904,4045904,4045677,43.94,43.94,4045904,4045904,4045904,4045904,1,1,1,1,0,0,0,2,0,0,0,0 + 1 part,501,99.997,1.000,0.00,0.52,7.00,4045403,4045403,4045403,4045403,4045403,4045403,1,1,1,1
voltrax--100x-raven--05.fasta,100,raven,NA,05,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045429,4045429,4045429,4045429,4045429,1,4045429,4045429,4045677,43.94,43.94,4045429,4045429,4045429,4045429,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.57,6.97,4045429,4045429,4045429,4045429,4045429,4045429,1,1,1,1
voltrax--100x-raven--06.fasta,100,raven,NA,06,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),2,2,2,2,2,6809933,6809933,6809933,6809933,6809933,2,4044538,6809933,4045677,39.44,43.94,4044538,4044538,2765395,4044538,1,1,2,1,0,0,0,2,0,0,1,0 + 1 part,2741091,99.976,1.006,0.00,48.71,12.41,4044435,4068739,4044435,4044435,-,4044435,1,1,-,1
voltrax--100x-raven--07.fasta,100,raven,NA,07,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4043946,4043946,4043946,4043946,4043946,1,4043946,4043946,4045677,43.94,43.94,4043946,4043946,4043946,4043946,1,1,1,1,1,1,4043946,2,0,0,0,0 + 0 part,0,99.959,1.000,0.00,0.57,7.37,4043751,4043751,4043751,4043751,4043751,4043751,1,1,1,1
voltrax--100x-raven--08.fasta,100,raven,NA,08,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045413,4045413,4045413,4045413,4045413,1,4045413,4045413,4045677,43.94,43.94,4045413,4045413,4045413,4045413,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.52,7.42,4045413,4045413,4045413,4045413,4045413,4045413,1,1,1,1
voltrax--100x-raven--09.fasta,100,raven,NA,09,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4066215,4066215,4066215,4066215,4066215,1,4066215,4066215,4045677,43.95,43.94,4066215,4066215,4066215,4066215,1,1,1,1,1,1,4066215,2,0,0,0,0 + 0 part,0,99.997,1.005,0.00,0.91,7.53,4065973,4065973,4065973,4065973,4065973,4065973,1,1,1,1
voltrax--100x-raven--10.fasta,100,raven,NA,10,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),2,2,2,2,2,9073572,9073572,9073572,9073572,9073572,2,5008375,9073572,4045677,48.04,43.94,5008375,5008375,4065197,5008375,1,1,2,1,1,1,4065197,3,0,0,1,0 + 1 part,5006184,99.973,1.006,0.00,4.87,7.60,4064813,4067004,-,4064813,-,4064813,-,1,-,1
voltrax--100x-raven--11.fasta,100,raven,NA,11,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),2,2,2,2,2,9063747,9063747,9063747,9063747,9063747,2,5018179,9063747,4045677,47.91,43.94,5018179,5018179,4045568,5018179,1,1,2,1,0,0,0,1,0,0,1,0 + 1 part,5015988,99.997,1.000,0.00,4.99,7.59,4043196,4045387,-,4043196,-,4043196,-,1,-,1
voltrax--100x-raven--12.fasta,100,raven,NA,12,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),2,2,2,2,2,4530853,4530853,4530853,4530853,4530853,2,4045404,4530853,4045677,44.86,43.94,4045404,4045404,485449,4045404,1,1,2,1,0,0,0,1,0,0,1,0 + 1 part,484197,99.997,1.000,0.00,2.89,7.36,4045404,4046656,4045404,4045404,-,4045404,1,1,-,1
voltrax--100x-raven-medaka--01-polished.fasta,100,raven,medaka,01,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045565,4045565,4045565,4045565,4045565,1,4045565,4045565,4045677,43.94,43.94,4045565,4045565,4045565,4045565,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.47,3.34,4045565,4045565,4045565,4045565,4045565,4045565,1,1,1,1
voltrax--100x-raven-medaka--02-polished.fasta,100,raven,medaka,02,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045553,4045553,4045553,4045553,4045553,1,4045553,4045553,4045677,43.94,43.94,4045553,4045553,4045553,4045553,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.44,3.31,4045553,4045553,4045553,4045553,4045553,4045553,1,1,1,1
voltrax--100x-raven-medaka--03-polished.fasta,100,raven,medaka,03,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),2,2,2,2,2,4507247,4507247,4507247,4507247,4507247,2,4045574,4507247,4045677,44.75,43.94,4045574,4045574,461673,4045574,1,1,2,1,0,0,0,1,0,0,1,0 + 1 part,460421,99.997,1.000,0.00,2.82,3.24,4045574,4046826,4045574,4045574,-,4045574,1,1,-,1
voltrax--100x-raven-medaka--04-polished.fasta,100,raven,medaka,04,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045585,4045585,4045585,4045585,4045585,1,4045585,4045585,4045677,43.94,43.94,4045585,4045585,4045585,4045585,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.49,3.11,4045585,4045585,4045585,4045585,4045585,4045585,1,1,1,1
voltrax--100x-raven-medaka--05-polished.fasta,100,raven,medaka,05,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),2,2,2,2,2,7468582,7468582,7468582,7468582,7468582,2,4045567,7468582,4045677,47.21,43.94,4045567,4045567,3423015,4045567,1,1,2,1,0,0,0,1,0,0,1,0 + 1 part,3420824,99.997,1.001,0.00,4.60,3.38,4045567,4047758,4045567,4045567,-,4045567,1,1,-,1
voltrax--100x-raven-medaka--06-polished.fasta,100,raven,medaka,06,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045567,4045567,4045567,4045567,4045567,1,4045567,4045567,4045677,43.94,43.94,4045567,4045567,4045567,4045567,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,1.19,3.19,4045567,4045567,4045567,4045567,4045567,4045567,1,1,1,1
voltrax--100x-raven-medaka--07-polished.fasta,100,raven,medaka,07,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),2,2,2,2,2,5649510,5649510,5649510,5649510,5649510,2,4043947,5649510,4045677,45.87,43.94,4043947,4043947,1605563,4043947,1,1,2,1,1,1,4043947,1,0,0,1,0 + 1 part,1605250,99.957,1.000,0.00,1.06,3.39,4043836,4044149,4043836,4043836,-,4043836,1,1,-,1
voltrax--100x-raven-medaka--08-polished.fasta,100,raven,medaka,08,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045577,4045577,4045577,4045577,4045577,1,4045577,4045577,4045677,43.94,43.94,4045577,4045577,4045577,4045577,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.52,3.19,4045577,4045577,4045577,4045577,4045577,4045577,1,1,1,1
voltrax--100x-raven-medaka--09-polished.fasta,100,raven,medaka,09,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4066190,4066190,4066190,4066190,4066190,1,4066190,4066190,4045677,43.94,43.94,4066190,4066190,4066190,4066190,1,1,1,1,1,1,4066190,1,0,0,0,0 + 0 part,0,99.997,1.005,0.00,0.52,3.10,4066087,4066087,4066087,4066087,4066087,4066087,1,1,1,1
voltrax--100x-raven-medaka--10-polished.fasta,100,raven,medaka,10,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4065381,4065381,4065381,4065381,4065381,1,4065381,4065381,4045677,43.94,43.94,4065381,4065381,4065381,4065381,1,1,1,1,1,1,4065381,2,0,0,0,0 + 0 part,0,99.976,1.005,0.00,0.52,3.49,4065207,4065207,4065207,4065207,4065207,4065207,1,1,1,1
voltrax--100x-raven-medaka--11-polished.fasta,100,raven,medaka,11,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),2,2,2,2,2,9114105,9114105,9114105,9114105,9114105,2,5068543,9114105,4045677,47.75,43.94,5068543,5068543,4045562,5068543,1,1,2,1,0,0,0,1,0,0,1,0 + 1 part,5066352,99.997,1.001,0.00,4.60,3.21,4045562,4047753,-,4045562,-,4045562,-,1,-,1
voltrax--100x-raven-medaka--12-polished.fasta,100,raven,medaka,12,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),1,1,1,1,1,4045585,4045585,4045585,4045585,4045585,1,4045585,4045585,4045677,43.94,43.94,4045585,4045585,4045585,4045585,1,1,1,1,0,0,0,1,0,0,0,0 + 0 part,0,99.997,1.000,0.00,0.47,3.41,4045585,4045585,4045585,4045585,4045585,4045585,1,1,1,1
voltrax--100x-redbean--01.fasta,100,redbean,NA,01,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),2,2,2,2,2,5144410,5144410,5144410,5144410,5144410,2,4044990,5144410,4045677,45.70,43.94,4044990,4044990,1099420,4044990,1,1,2,1,0,0,0,3,0,0,1,0 + 2 part,1100738,99.927,1.000,0.00,6.68,24.09,4042107,4043672,4042107,4042107,-,4042107,1,1,-,1
voltrax--100x-redbean--02.fasta,100,redbean,NA,02,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),2,2,2,2,2,5402131,5402131,5402131,5402131,5402131,2,4038849,5402131,4045677,45.94,43.94,4038849,4038849,1363282,4038849,1,1,2,1,0,0,0,2,0,0,1,0 + 2 part,1363806,99.836,1.000,0.00,5.27,27.98,4038012,4038325,4038012,4038012,-,4038012,1,1,-,1
voltrax--100x-redbean--03.fasta,100,redbean,NA,03,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),2,2,2,2,2,7461173,7461173,7461173,7461173,7461173,2,4028663,7461173,4045677,41.18,43.94,4028663,4028663,3432510,4028663,1,1,2,1,0,0,0,2,0,0,1,0 + 2 part,3401753,99.603,1.007,0.00,57.64,34.00,4027209,4059420,4027209,4027209,-,4027209,1,1,-,1
voltrax--100x-redbean--04.fasta,100,redbean,NA,04,NA,Bacillus_subtilis_chromosome,Bacillus subtilis,chromosome,QUAST v5.1.0rc1 2023ea6d (MetaQUAST mode),2,2,2,2,2,7829249,7829249,7829249,7829249,7829249,2,6787072,7829249,4045677,41.20,43.94,6787072,6787072,1042177,6787072,1,1,2,1,7,1,6787072,5,0,0,1,0 + 2 part,3738681,99.841,1.012,0.00,47.41,33.07,4035379,4088081,4035379,4035379,-,4035379,1,1,-,1
